id,publisher,classification,released_games,unreleased_games,total_revenue,avg_revenue_per_game,median_revenue_per_game,hq_country,pct_inhouse,action,adventure,arcade,casino,lifestyle,puzzle,racing,rpg,shooter,simulation,sports,strategy,tabletop
31,Team17 Digital,Indie,101,10,510600000.0,5100000.0,975000.0,Sweden,22.0,21.0,5.0,15.0,0.0,0.0,6.0,0.0,8.0,10.0,14.0,1.0,21.0,0.0
32,THQ Nordic,AA,162,9,459100000.0,2800000.0,534000.0,Sweden,9.0,15.0,8.0,5.0,0.0,0.0,0.0,10.0,18.0,9.0,8.0,2.0,24.0,0.0
33,505 GAMES,AA,60,3,445700000.0,7400000.0,1400000.0,Sweden,2.0,30.0,10.0,5.0,0.0,0.0,5.0,5.0,12.0,12.0,7.0,3.0,12.0,0.0
34,TaleWorlds Entertainment,AA,4,0,402300000.0,100600000.0,46700000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
35,Frontier Developments,AA,14,0,390800000.0,27900000.0,12200000.0,United Kingdom,100.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,21.0,7.0,0.0
36,Tripwire Interactive,AA,22,1,384000000.0,17500000.0,6200000.0,Sweden,43.0,18.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,50.0,0.0,0.0,23.0,0.0
37,Facepunch Studios,AA,5,1,355200000.0,71000000.0,177500000.0,United Kingdom,83.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0
38,WB Games,AA,9,0,337100000.0,37500000.0,42200000.0,Sweden,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,VOID Interactive,AA,1,0,323900000.0,323900000.0,323900000.0,Ireland,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
40,Rebellion,AA,43,0,319500000.0,7400000.0,458000.0,Sweden,53.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,5.0,26.0,0.0
41,Codemasters,AA,35,0,317200000.0,9100000.0,1600000.0,United Kingdom,40.0,9.0,0.0,0.0,0.0,0.0,0.0,71.0,6.0,9.0,3.0,0.0,3.0,0.0
42,Behaviour Interactive,Indie,10,2,317000000.0,31700000.0,1600000.0,Canada,50.0,45.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,18.0,9.0,0.0,9.0,0.0
43,KONAMI,AA,50,4,308100000.0,6200000.0,721000.0,Sweden,54.0,50.0,0.0,23.0,0.0,2.0,2.0,0.0,6.0,2.0,0.0,6.0,10.0,0.0
44,Klei Entertainment,AA,12,2,282900000.0,23600000.0,5800000.0,Canada,79.0,50.0,0.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
45,Amazon Games,AAA,5,2,273400000.0,54700000.0,218000.0,,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,17.0,0.0,0.0,0.0,0.0
46,Supergiant Games,AA,5,0,270200000.0,54000000.0,28700000.0,United States,100.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
47,Offworld,Indie,4,0,262600000.0,65600000.0,15600000.0,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
48,Activision (Excluding Japan and Asia),AAA,1,0,256800000.0,256800000.0,256800000.0,United States,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,方块游戏 (Asia),AA,1,0,256800000.0,256800000.0,256800000.0,China,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,FromSoftware Inc. (Japan),Indie,1,0,256800000.0,256800000.0,256800000.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Kinetic Games,Indie,1,0,255200000.0,255200000.0,255200000.0,United Kingdom,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Axolot Games,AA,2,0,254300000.0,127100000.0,127100000.0,Sweden,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
53,Landfall,Indie,11,0,251300000.0,22800000.0,26000000.0,Sweden,73.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0
54,Fatshark,AA,10,0,249000000.0,24900000.0,5200000.0,Sweden,80.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,30.0,0.0,0.0,30.0,0.0
55,Gearbox Publishing,AA,15,0,245500000.0,16400000.0,8800000.0,,0.0,33.0,0.0,20.0,0.0,7.0,0.0,0.0,7.0,13.0,0.0,0.0,20.0,0.0
56,Newnight,Indie,1,0,242400000.0,242400000.0,242400000.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
